Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-February-2021,2065.00,2104.95,2058.00,2080.55,2088.640078460292018772,398673,17549,832684406.00,77916,19.54,46.95,15.55
18-February-2021,2085.75,2107.70,2059.70,2065.50,2086.172102043960902799,298538,14233,622801647.00,61715,20.67,48.00,-20.25
17-February-2021,2058.00,2095.00,2050.85,2082.75,2076.980093374133372227,692483,38911,1438273406.00,305537,44.12,44.15,24.75
16-February-2021,2040.00,2079.00,2037.50,2059.65,2061.478522125240341388,361465,17723,745152334.00,92295,25.53,41.50,19.65
15-February-2021,2049.00,2060.55,2025.40,2032.60,2042.728737445669523365,325784,14989,665488339.00,48870,15.00,35.15,-16.40
12-February-2021,2059.70,2077.50,2015.55,2041.25,2051.007974987043963111,640628,27971,1313933137.00,88301,13.78,61.95,-18.45
11-February-2021,1977.45,2062.20,1971.20,2055.55,2027.717427158627974422,1942646,105055,3939137149.00,925164,47.62,91.00,78.10
10-February-2021,1957.70,1983.95,1928.00,1975.25,1953.062886952533822517,470988,21970,919869183.00,160938,34.17,55.95,17.55
9-February-2021,1967.70,1990.00,1952.00,1955.95,1974.646749545803288815,602162,37702,1189057236.00,243939,40.51,38.00,-11.75
8-February-2021,1931.20,1968.25,1929.05,1951.50,1954.501146344797730664,702232,44299,1372513249.00,332291,47.32,39.20,20.30
5-February-2021,1933.00,1944.20,1920.00,1924.00,1930.752961051382859130,322014,17712,621729484.00,121278,37.66,24.20,-9.00
4-February-2021,1921.00,1939.70,1905.05,1923.95,1931.128766564855791947,1619015,23038,3126526440.00,1343806,83.00,34.65,2.95
3-February-2021,1927.00,1951.00,1900.00,1930.30,1933.409752741588591345,921546,52016,1781726024.00,281504,30.55,51.00,3.30
2-February-2021,1915.70,1938.30,1855.00,1926.45,1890.010261421042433281,1088933,76486,2058094544.00,306954,28.19,83.30,10.75
1-February-2021,1845.20,1904.70,1845.20,1895.35,1873.391752564724395211,818509,58703,1533388010.00,293927,35.91,59.50,50.15
29-January-2021,1896.70,1911.75,1830.00,1843.15,1875.066059569601268861,926815,71721,1737839350.00,375028,40.46,81.75,-53.55
28-January-2021,1879.00,1923.35,1870.15,1876.60,1890.563651431829823425,2069380,75266,3912294609.00,1394191,67.37,53.20,-2.40
27-January-2021,1930.20,1930.20,1888.00,1895.25,1905.465646617759792389,1740178,39082,3315849398.00,1316619,75.66,42.20,-34.95
25-January-2021,2052.00,2052.00,1932.20,1939.70,1965.079101759914382543,1345520,97513,2644053233.00,401963,29.87,119.80,-112.30
22-January-2021,2114.80,2115.90,2035.20,2049.65,2071.271262720423354588,507943,28737,1052087739.00,84268,16.59,80.70,-65.15
21-January-2021,2082.00,2119.80,2075.00,2097.85,2102.810485228025847071,1545088,81463,3249027247.00,657864,42.58,44.80,15.85
20-January-2021,2022.50,2058.05,2001.25,2054.85,2040.657012098400047484,488577,23309,997018081.00,176300,36.08,56.80,32.35
19-January-2021,1994.00,2030.90,1993.65,2016.30,2019.369187338132413387,591919,30814,1195302990.00,244784,41.35,37.25,22.30
18-January-2021,1940.00,1996.60,1922.65,1983.50,1969.566481237692564383,1363505,75740,2685513745.00,633565,46.47,73.95,43.50
15-January-2021,1960.00,1973.15,1920.15,1937.60,1954.979863503597184791,1266407,39592,2475800184.00,338343,26.72,53.00,-22.40
14-January-2021,1939.10,1966.50,1936.05,1960.60,1947.007375508241157696,1829840,40651,3562711976.00,1434829,78.41,30.45,21.50
13-January-2021,1964.80,1974.95,1918.65,1939.10,1949.192824687219697894,474934,22432,925737945.00,105601,22.23,56.30,-25.70
12-January-2021,1910.00,1960.00,1900.00,1956.65,1937.751786385103848386,497793,24486,964599275.00,110381,22.17,60.00,46.65
11-January-2021,1935.00,1938.90,1892.25,1897.00,1908.354893123470485329,415573,26254,793060768.00,155931,37.52,46.65,-38.00
8-January-2021,1920.90,1938.20,1912.70,1933.05,1922.412252671745540419,299804,17589,576346883.00,92856,30.97,25.50,12.15
7-January-2021,1921.90,1945.20,1905.65,1911.00,1919.920153989114562591,564975,27371,1084706889.00,260378,46.09,39.55,-10.90
6-January-2021,1968.00,1968.00,1905.00,1914.15,1927.779124553405575442,864039,41948,1665676347.00,298443,34.54,63.00,-53.85
5-January-2021,1972.05,1984.00,1956.00,1966.00,1968.887357516932556291,338549,18785,666564846.00,110097,32.52,28.00,-6.05
4-January-2021,1988.55,1997.90,1967.90,1990.65,1981.396495042691548143,345853,18024,685271922.00,79151,22.89,30.00,2.10
1-January-2021,1986.15,1997.30,1982.30,1987.15,1989.524712610881791608,157713,8773,313773911.00,39415,24.99,15.00,1.00
31-December-2020,1994.75,2011.00,1980.00,1984.65,1997.539758906815229875,465795,28122,930444032.00,135009,28.98,31.00,-10.10
30-December-2020,1992.55,2006.85,1975.90,1995.50,1991.693316746701623438,224277,11597,446691002.00,38363,17.11,30.95,2.95
29-December-2020,2007.35,2012.80,1982.60,1989.20,1992.179091821756120583,250017,12277,498078640.00,63050,25.22,30.20,-18.15
28-December-2020,2004.10,2024.90,1995.60,2003.25,2005.830074690478603234,335518,17189,672992095.00,132397,39.46,29.30,-0.85
24-December-2020,1950.80,1998.65,1947.05,1993.90,1976.861969942532111867,289379,16905,572062340.00,76634,26.48,51.60,43.10
23-December-2020,1932.80,1951.20,1920.00,1943.80,1938.404366407222187006,299743,19714,581023140.00,111655,37.25,31.20,11.00
22-December-2020,1940.00,1958.40,1887.75,1936.60,1920.481603841022956242,972241,72496,1867170955.00,304755,31.35,70.65,-3.40
21-December-2020,2010.00,2022.00,1856.05,1939.75,1977.945317782623482105,1499610,78562,2966146578.00,581157,38.75,165.95,-70.25
18-December-2020,1983.00,2005.00,1965.00,1992.25,1978.526844684651674071,218330,13259,431971766.00,53448,24.48,40.00,9.25
17-December-2020,1980.90,2005.00,1977.10,1985.05,1989.575454081077233559,238834,13419,475178264.00,48563,20.33,27.90,4.15
16-December-2020,1988.00,1995.00,1965.75,1976.05,1977.720353586460762315,272748,15361,539419271.00,85302,31.28,29.25,-11.95
15-December-2020,1992.90,1992.90,1961.50,1974.00,1973.414933698915073155,211535,13741,417446328.00,53014,25.06,31.40,-18.90
